time,open,high,low,close,volume,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2024-06-10,45.91,47.09,45.62,46.6,760466,44.79934807138102,42.30135721595925,2.4979908554217687,2.49136204443833,0.006628810983438704
2024-06-11,46.7,46.99,45.91,46.79,536818,45.10560221424548,42.63384927403634,2.471752940209136,2.487440223592491,-0.015687283383355233
2024-06-12,48.07,48.56,46.6,46.99,866363,45.39550956590002,42.95652710558921,2.438982460310811,2.477748670936155,-0.03876621062534413
2024-06-13,47.09,47.38,46.21,46.21,646778,45.52081578653079,43.19752509776779,2.3232906887630023,2.4468570745015246,-0.1235663857385223
2024-06-14,46.5,46.89,44.05,44.05,1234082,45.29453643475682,43.260671386822025,2.033865047934796,2.364258669188179,-0.3303936212533829
2024-06-17,44.05,44.14,41.99,43.36,751691,44.99691544479423,43.26802906187225,1.728886382921985,2.2371842119349403,-0.5082978290129554
2024-06-18,43.26,44.44,43.26,43.36,446050,44.74508229944127,43.27484172395579,1.4702405754854837,2.083795484645049,-0.6135549091595651
2024-06-19,43.36,44.44,42.77,44.05,601251,44.63814656106569,43.33226085551462,1.30588570555107,1.928213528826253,-0.622327823275183
2024-06-20,44.05,44.34,43.07,43.65,567466,44.48612401320943,43.35579708843946,1.1303269247699674,1.7686362080149958,-0.6383092832450283
2024-06-21,43.65,44.64,43.36,44.44,642496,44.479028011177206,43.436108415221724,1.0429195959554818,1.623492885603093,-0.5805732896476112
2024-06-24,44.44,44.54,40.22,40.32,1932782,43.83917754791918,43.205285569649746,0.6338919782694319,1.4255727041363608,-0.791680725866929
2024-06-25,40.32,41.4,40.22,41.2,541042,43.433150232854686,43.05674589782384,0.37640433503084836,1.2157390303152584,-0.8393346952844101
2024-06-26,41.2,41.59,39.93,40.61,669431,42.99881942780012,42.875505460948,0.12331396685212326,0.9972540176226314,-0.8739400507705082
2024-06-27,40.61,40.81,39.83,40.71,440912,42.64669336198472,42.71509764902592,-0.06840428704120427,0.7841223566898643,-0.8525266437310686
2024-06-28,40.61,41.01,39.14,39.24,834703,42.12258669091015,42.457683008357336,-0.3350963174471886,0.5602786218624537,-0.8953749393096423
2024-07-01,39.24,40.52,39.24,40.42,436923,41.86065027692397,42.306743526256795,-0.4460932493328258,0.3590042476233978,-0.8050974969562236
2024-07-02,41.2,41.5,40.42,41.2,451401,41.75901177278182,42.22476252431185,-0.465750751530031,0.19405324779271202,-0.659803999322743
2024-07-03,41.4,41.69,40.61,40.91,491946,41.62839457696923,42.12737270769615,-0.49897813072692543,0.05544697208878452,-0.5544251028157099
2024-07-04,41.2,41.59,40.61,41.2,383163,41.56248771897396,42.058678433051995,-0.4961907140780326,-0.0548805651445789,-0.4413101489334537
2024-07-05,41.5,41.69,40.12,41.1,563020,41.491335762208735,41.98766521578889,-0.49632945358015235,-0.1431703428316936,-0.35315911074845874
2024-07-08,41.5,41.5,40.71,41.2,506690,41.44651487571508,41.92931964424897,-0.48280476853388876,-0.21109722797213265,-0.2717075405617561
2024-07-09,41.3,44.14,41.01,44.05,2144581,41.84705104868199,42.08640707800831,-0.2393560293263164,-0.2167489882429694,-0.02260704108334699
2024-07-10,44.64,45.03,43.36,43.36,790959,42.07981242580784,42.18074729445214,-0.1009348686443019,-0.1935861643232359,0.09265129567893399
2024-07-11,43.85,44.64,43.16,43.95,988090,42.367533591068174,42.311803050418646,0.05573054064952743,-0.14372282332868322,0.19945336397821065
2024-07-12,44.05,44.54,43.65,44.14,787001,42.64022073090384,42.44722504668393,0.19299568421990898,-0.07637912181896477,0.26937480603887376
2024-07-15,44.54,45.13,43.95,44.34,698592,42.90172523384171,42.58743059878142,0.31429463506029265,0.0017556295568867258,0.3125390055034059
2024-07-16,44.44,45.22,43.16,43.65,1023287,43.016844428635295,42.666139443316126,0.3507049853191688,0.07154550070934315,0.27915948460982565
2024-07-17,43.65,45.13,41.69,42.48,1361342,42.93425297807602,42.65235133640382,0.28190164167219933,0.11361672890191439,0.16828491277028496
2024-07-18,42.48,43.46,41.59,43.46,575328,43.01513713529509,42.71217716333687,0.30295997195822366,0.15148537751317626,0.1514745944450474
2024-07-19,43.16,43.95,41.1,41.2,1220120,42.73588526832662,42.60016404012673,0.1357212281998912,0.14833254765051923,-0.012611319450628045
2024-07-22,41.2,41.2,37.08,37.28,2306798,41.896518303968676,42.20607781493216,-0.30955951096348144,0.05675413592771909,-0.36631364689120055
2024-07-23,37.28,37.67,34.63,34.73,930313,40.79397702643503,41.65229427308533,-0.8583172466503015,-0.12626014058788504,-0.7320571060624165
2024-07-24,34.73,36.79,34.34,36.3,954899,40.102595945445024,41.25582803063457,-1.1532320851895435,-0.3316545295082167,-0.8215775556813267
2024-07-25,34.83,36.49,34.83,36.1,382831,39.4868119538381,40.87391484318015,-1.387102889342053,-0.5427442014749839,-0.844358687867069
2024-07-26,38.16,39.34,35.41,36.0,351345,38.95037934555531,40.512884114055694,-1.5625047685003821,-0.7466963148800636,-0.8158084536203185
2024-07-29,36.1,36.69,35.9,36.3,514758,38.54262867700834,40.200818624125645,-1.6581899471173074,-0.9289950413275123,-0.7291949057897951
2024-07-30,36.2,36.4,34.92,35.32,502152,38.04683964977629,39.839276503820045,-1.792436854043757,-1.1016834038707612,-0.6907534501729957
2024-07-31,35.41,36.1,33.94,34.04,789351,37.43040278057994,39.40970046650004,-1.979297685920102,-1.2772062602806293,-0.7020914256394726
2024-08-01,34.14,34.63,31.0,31.39,1576857,36.5011100451061,38.81564858009263,-2.314538534986525,-1.4846727152218084,-0.8298658197647166
2024-08-02,28.25,34.43,28.25,33.84,1277635,36.09170849970516,38.447082018604284,-2.355373518899121,-1.658812875957271,-0.6965606429418503
2024-08-05,33.84,34.73,32.18,32.86,1130938,35.5945225766736,38.03322409130026,-2.438701514626665,-1.8147906036911496,-0.6239109109355152
2024-08-06,33.35,35.41,33.26,35.12,1106540,35.521519103339195,37.817429714166906,-2.295910610827711,-1.911014605118462,-0.3848960057092492
2024-08-07,35.32,35.32,34.14,34.63,633243,35.38436231821009,37.5813238094138,-2.196961491203716,-1.9682039823355129,-0.228757508868203
2024-08-08,34.24,34.73,33.16,33.84,983336,35.146768115408534,37.304188712420185,-2.157420597011651,-2.0060473052707404,-0.15137329174091052
2024-08-09,34.14,36.1,34.14,35.51,1264133,35.202649943807224,37.171285844833506,-1.968635901026282,-1.9985650244218487,0.029929123395566748
2024-08-12,36.1,36.2,35.12,36.1,650258,35.340703798606114,37.0919313378088,-1.751227539202688,-1.9490975273780164,0.19786998817532853
2024-08-13,36.1,36.2,35.02,35.41,678330,35.35136475266671,36.96734383130445,-1.6159790786377357,-1.8824738376299603,0.26649475899222463
2024-08-14,34.53,36.49,34.53,35.02,716135,35.30038555994876,36.82309614009671,-1.522710580147951,-1.8105211861335584,0.28781060598560737
2024-08-15,35.12,35.61,34.73,35.02,637893,35.25724931995664,36.689533463052506,-1.4322841430958633,-1.7348737775260195,0.3025896344301562
2024-08-16,35.51,38.46,35.41,38.46,1910189,35.74998019380946,36.82067913245602,-1.070698938646558,-1.6020388097501272,0.5313398711035693
2024-08-19,38.55,39.04,37.87,38.26,708297,36.13613708706954,36.92729549301483,-0.7911584059452892,-1.4398627289891597,0.6487043230438705
2024-08-20,38.55,39.93,37.47,38.65,1630840,36.52288522752038,37.05490323427299,-0.5320180067526081,-1.2582937845418494,0.7262757777892412
2024-08-21,38.55,39.24,38.36,38.85,750629,36.88090288482494,37.18787336506759,-0.30697048024264717,-1.068029123682009,0.7610586434393618
2024-08-22,39.14,39.63,38.55,38.85,659636,37.18384090254418,37.310993856544066,-0.12715295399988236,-0.8798538897455837,0.7527009357457013
2024-08-23,39.14,40.02,38.65,39.14,1068842,37.484788455998924,37.446475793096354,0.03831266290256963,-0.696220579215953,0.7345332421185227
2024-08-26,39.73,40.71,38.46,38.75,995893,37.67943638584524,37.543033141755885,0.1364032440893581,-0.5296958145548908,0.6660990586442489
2024-08-27,38.65,39.14,38.26,38.55,580491,37.81336924956136,37.617623279403595,0.19574597015776618,-0.38460745761235937,0.5803534277701256
2024-08-28,39.04,39.24,37.47,38.65,836690,37.94208167270577,37.6940956290774,0.24798604362836585,-0.2580887573642143,0.5060748009925802
2024-08-29,38.65,38.85,38.26,38.55,369881,38.03560756921257,37.757495952849446,0.27811161636312676,-0.15084868261874612,0.4289602989818729
2024-08-30,38.46,39.53,38.36,38.65,605978,38.130129481641404,37.82360736374949,0.30652211789191597,-0.059374522516613695,0.36589664040852965
2024-09-04,38.06,38.85,38.06,38.85,567105,38.240878792158114,37.899636447916194,0.3412423442419197,0.02074885083509298,0.3204934934068267
2024-09-05,38.65,39.93,38.26,38.65,1089897,38.30382051644148,37.955218933255736,0.3486015831857472,0.08631939730522382,0.2622821858805234
2024-09-06,38.65,38.85,37.96,38.65,556061,38.35707889852741,38.006684197459016,0.3503947010683959,0.13913445805785823,0.21126024301053764
2024-09-09,38.46,38.55,38.16,38.46,295330,38.37291291413858,38.040263145795386,0.33264976834319526,0.17783752011492565,0.1548122482282696
2024-09-10,38.75,38.85,37.87,37.96,696389,38.309387850424955,38.03431772758832,0.275070122836631,0.19728404065926672,0.0777860821773643
2024-09-11,37.87,38.85,36.79,38.36,686768,38.317174334974965,38.05844234035956,0.2587319946154025,0.20957363145049387,0.04915836316490865
2024-09-12,38.55,38.95,38.36,38.46,341585,38.339147514209586,38.08818735218478,0.2509601620248034,0.21785093756535578,0.03310922445944764
2024-09-13,38.55,39.73,38.36,39.14,943293,38.46235558894657,38.16609940017109,0.2962561887754802,0.23353198780738066,0.06272420096809955
2024-09-16,39.14,39.83,38.85,39.24,642693,38.5819931906471,38.24564759275101,0.3363455978960843,0.2540947098251214,0.08225088807096292
2024-09-17,39.24,41.59,39.24,41.59,1487290,39.044763469009084,38.49337740069538,0.551386068313704,0.3135529815228379,0.23783308679086607
